"title","price","priceAfterDiscount","sold","store","shopBadge"
"New! Terlaris! Terbaru! Tuya Bluetooth Smart LED Downlight 10W 15W Smart Life APP LED Lamp Bulb RGB","Rp190.000","Rp190.000","N/A","lalaron","N/A"
"3 Way US Smart Wifi Light Switch Button Tuya Smart Home Wireless Lamp Switches SmartLife Voice Control Apply For Stairs Bedroom","Rp477.500","Rp477.500","N/A","hilmatian","N/A"
"Smart WiFi E27 Socket Lamp Holder Tuya Light Bulbs Wi-Fi Adapter Mini Remote Control Smart Home Alexa Google Home IFTTT Alice SmartThings","Rp199.000","Rp199.000","N/A","Panasat Electro ID","N/A"
"SMATRUL Lampu Pintar Tuya Zigbee 10W Smart Light Bulb E27 RGB LED Lamp BEST SELLER","Rp193.000","Rp193.000","N/A","RJL5 STORE","N/A"
"Smart WiFi E27 Socket Lamp Holder Tuya Light Bulbs Wi-Fi Adapter Mini Remote Control Smart Home Alexa Google Home IFTTT Alice SmartThings","Rp199.000","Rp199.000","N/A","Leaf Light Jkt","N/A"
"Smart WiFi E27 Socket Lamp Holder Tuya Light Bulbs Wi-Fi Adapter Mini Remote Control Smart Home Alexa Google Home IFTTT Alice SmartThings","Rp195.000","Rp195.000","N/A","Emran Maju ID","N/A"
"New! Terlaris! Tuya WiFi Zigbee Smart Ceiling Lamp RGBCW Round LED Ceiling Light Living Room Decor S","Rp270.000","Rp270.000","N/A","hanum mart7","N/A"
"SBD - TUYA SMART WIFI E27 SOCKET LIGHT BULBS WI-FI BLUETOOTH ADAPTER LAMP HOLDER BLUETOOTH REMOTE CONTROL SMART LIFE ALEXA GOOGLE HOME IFTTT ALICE","Rp198.500","Rp198.500","N/A","Barumbung","N/A"
"AVATTO Tuya WiFi Touch Switch,Smart Glass Panel Wall Lamp Light Switch 1/2/3 Gang AC100-240V works with Alex/Google home","Rp300.000","Rp300.000","N/A","nirinti","N/A"
"New! Terlaris! Tuya WIFI Zigbee Smart Light Bulb E27/E14/E12/GU10/MR16 RGB CW Dimmable LED Lamp For","Rp256.000","Rp256.000","N/A","Gedebhugh","N/A"
"PROHEMAT Smart LED Light Bulb RGBWW 9W Wireless IoT Automation Lampu","Rp99.999","Rp99.999","1 terjual","PROHEMAT","N/A"
"Saklar Lampu Luxury Touch Screen Wireless Layar Sentuh WiFi Remote Tuya  1 2 3 Tombol","Rp129.999","Rp129.999","4 terjual","insideflow id","Power Shop"
"AMC Tuya Smart Control Panel Mini 3.5 inch 3 Gang Switch Bluetooth Hub Gateway Remote IR Built-in Device & Scene Kontrol Sigmesh 3-Gang Relays","Rp1.599.000","Rp1.599.000","40+ terjual","amc_shop","Power Shop"
"AMC Tuya Smart Life Central Control Panel 4 inch Zigbee Hub Gateway","Rp1.999.000","Rp1.899.000","80+ terjual","amc_shop","Power Shop"
"AMC Tuya Smart EU Plug WiFi 16A Timer Energy Meter Stop Kontak Colokan","Rp95.000","Rp95.000","2rb+ terjual","amc_shop","Power Shop"
"Square Smart Ceiling lamp Tuya App Remote Control Ceiling lights","Rp1.532.900","Rp1.532.900","N/A","Liananamart","N/A"
"Tuya WIFI Zigbee Smart Light Bulb E27/E14/E12/GU10/MR16 RGB CW Dimmable LED Lamp For Alexa Google Home Alice EWelink App Control","Rp252.000","Rp252.000","N/A","herisusanti","N/A"
"New! Terlaris! Tuya WIFI Zigbee Smart Light Bulb E27/E14/E12/GU10/MR16 RGB CW Dimmable LED Lamp For","Rp256.000","Rp256.000","N/A","Bulansishop","N/A"
"New! Terlaris! Tuya WIFI Zigbee Smart Light Bulb E27/E14/E12/GU10/MR16 RGB CW Dimmable LED Lamp For","Rp234.000","Rp234.000","N/A","rukayaha","N/A"
"New! Terlaris! Tuya WIFI Zigbee Smart Light Bulb E27/E14/E12/GU10/MR16 RGB CW Dimmable LED Lamp For","Rp231.000","Rp231.000","N/A","Festvoil Id","N/A"
"Tuya Smart Life Wifi Smart Light Bulb Socket Adapter E26 Switch Lamp","Rp715.000","Rp715.000","N/A","Emerald Shop01","N/A"
"Tuya WIFI Smart  Dimmer Switch LED Touch Wall Light Switch Smart Life APP Voice Control Lamp Switch Work with Alexa Google Home LYVIZ","Rp495.087","Rp495.087","N/A","lusi vonia","N/A"
"Best seller CORUI Tuya Smart WIFI Atmosphere Table Lamp Bedside LED Night Light Desktop Rotatable Re","Rp1.316.700","Rp1.316.700","N/A","amichann","N/A"
"smart wifi e27 socket lamp holder tuya light bulbs wi-fi adapter mini remote control smart home alexa google home ifttt alice smartthings best quality","Rp244.000","Rp244.000","N/A","Deola Official","N/A"
"Tuya Smart WIFI LED Ceiling Lights 20W RGB Dimmable Ceiling Lamp","Rp1.185.000","Rp1.185.000","N/A","darmm","N/A"
"SMATRUL White Saklar Kipas Angin Tuya Smart WiFi Switch Fan Light Ceiling Lamp Speed Control Electrical Alexa Google Home Smart Life | 2.022.0273 | KG039-W-WIF-BLU-EU","Rp472.000","Rp472.000","N/A","AYA MOON","N/A"
"Tuya WIFI Zigbee Smart Light Bulb E27/E14/E12/GU10/MR16 RGB CW Dimmable LED Lamp For Alexa Google Home Alice App Control","Rp252.000","Rp252.000","N/A","herisusanti","N/A"
"Smart Home Wifi Fan Light Switch EU/US Ceiling Fan Lamp Switch  Works With Alexa Google Tuya Remote Various Speed Control","Rp262.500","Rp262.500","N/A","susantiwati","N/A"
"New Tuya Smart Life Wifi Smart Light Bulb Socket Adapter E26 Switch Lamp","Rp975.000","Rp975.000","N/A","AWWWMACAN","N/A"
"Tuya Smart Remote Control Wireless Wifi Switch Module 2CH DC 7-32V AC 220V Relay Receiver for Led Light Lamp Fan DIY OT2IX","Rp3.382.283","Rp3.382.283","N/A","pandastore01111","N/A"
"Tuya Smart Remote Control Wireless Wifi Switch Module 2CH DC 7-32V AC 220V Relay Receiver for Led Light Lamp Fan DIY FMO7K","Rp3.332.768","Rp3.332.768","N/A","Asmaratoko12","N/A"
"New Smart Wifi E27 Socket Lamp Holder Tuya Light Bulbs Wi-Fi Adapter Mini Remote Control Smart Home Alexa Google Home Ifttt Alice Smartthings Best Seller","Rp282.000","Rp282.000","N/A","namanyajugahidupxx5","N/A"
"Smart Wifi E27 Socket Lamp Holder Tuya Light Bulbs Wi-Fi Adapter Mini Remote Control Smart Home Alexa Google Home Ifttt Alice Smartthings Best Seller","Rp223.000","Rp223.000","N/A","Light King","N/A"
"Tuya WiFi Rotary Dimmer Switch for LED Light Bulb Smart Wall Switches Adjustable Brightness Controller Filament Lamp EU 110-250V","Rp707.500","Rp707.500","N/A","susantiwati","N/A"
"Tuya Smart GU10 Led Bulb Wifi Alexa Smart Home RGB Lamp Downlight","Rp364.400","Rp364.400","N/A","HASPEX STORE","N/A"
"LAMPU SMART LAMP LED COB SPOTLIGHT  LED RGB+W aplikasi smart life tuya","Rp132.000","Rp132.000","N/A","Grand Lite Electric","N/A"
"Tuya Smart Ambient RGB Night Light With Swing Arm Dimmable Reading Music Sync Desk Lamp For Bedroom Playroom Office Lighting","Rp693.900","Rp693.900","-2 terjual","Sarjo Grosir","N/A"
"AVATTO Tuya Wifi Fan Light Switch, Smart Ceiling Fan Lamp Switch with","Rp769.900","Rp769.900","N/A","TB rusa makmur","N/A"
"Zigbee Tuya 12V 24V 110V 130V 220V Smart Home Garage Lamp Relay Motor","Rp465.400","Rp465.400","N/A","OUTLET ANNAS","Power Shop"
